ID,data,bv
1799,0.226781669,0.344609475
1800,-0.643633006,0.641968133
1801,-0.459250619,-0.060423472
1803,-1.490181347,-0.720406368
1804,2.047189677,1.791352502
1805,2.022956917,1.696682517
1806,1.18006998,1.41353008
1807,2.187073704,1.674979738
1808,1.135165774,0.944159459
1809,1.696387736,0.274510407
1810,2.160253068,1.77397367
1813,1.470824507,0.934891203
1816,-0.095316333,1.128305669
1817,0.512073574,1.464825577
1819,0.969473821,1.104543176
1821,1.768217041,0.684791932
1822,0.315125453,0.145161733
1823,0.371478817,0.082626746
1826,2.244182699,2.094347727
1827,1.724165286,1.074190931
1828,2.593153294,2.074407655
1829,0.799900945,1.516735298
1831,1.887282408,1.392108425
1833,1.173225137,1.221491434
1835,0.229202277,0.016210677
1836,-0.199361977,0.189811808
1837,-0.553221283,0.138912526
1838,-0.368587989,0.264611351
1839,0.891257638,0.656490809
1841,-0.62848675,-0.610213435
1842,-0.712437355,-0.160547771
1843,-0.718782172,-0.355091577
1845,1.645674567,0.938833001
1846,0.025312268,0.101722275
1847,0.537202452,0.597523146
1848,-0.109952766,0.824714362
1849,0.433110824,0.24257466
1851,1.60054665,1.384362489
1852,0.743240026,0.291567878
1853,0.64061514,0.714972792
1854,0.670520435,0.540710872
1856,2.530909049,2.064638006
1857,1.517786485,1.740920187
1858,0.903942223,0.828763357
1859,1.6502861,1.892548472
1860,-1.26918341,-1.079180779
1861,-1.151135023,0.023801013
1862,-1.412023489,-2.158338686
1863,-2.797640873,-1.867121614
1864,-1.141780101,-1.997484224
1865,0.926642222,0.916315468
1866,0.116082587,0.351494614
1867,-0.085909761,-0.48311556
1868,1.133209537,0.783665691
1869,-0.729074046,-0.108722058
1870,-0.104144927,-0.242840036
1871,-0.043817536,0.380685387
1872,0.636032349,0.674663843
1874,2.04987505,1.159391194
1876,0.517801507,0.718118261
1877,0.409090638,-0.447027631
1880,-0.04458045,-0.060663616
1881,-0.822646438,0.011326363
1882,-0.942910152,0.254205958
1883,0.962227359,1.343848693
1884,0.867854063,0.874751877
1885,1.027691719,0.610444367
1886,0.716173523,0.721326085
1889,0.602271897,0.404005997
1890,-0.575569791,0.119631083
1891,0.928791194,0.904099104
1892,1.861982889,1.042996977
1894,1.386206443,1.078138682
1895,1.253166933,0.883756739
1896,0.109093101,0.292864422
1897,1.395023583,0.5374713
1898,2.539897012,2.008808032
1899,2.44170806,1.679576479
1900,-0.545196974,0.352382631
1901,-0.838597866,-0.11257384
1902,-0.340855951,0.344080844
1903,1.624096587,1.86745379
1904,-1.279911811,-0.594615785
1905,0.955515834,1.23323611
1906,-0.5361785,-0.028289172
1907,-0.386984262,-0.30153405
1908,2.392853319,2.524066253
1909,0.649781265,0.568335542
1910,-0.106269744,-0.317638113
1911,0.199467525,-0.148519856
1912,-0.302598346,-0.171841421
1913,0.513879806,0.897762877
1914,0.699086812,0.330059929
1915,0.77228124,0.801499043
1916,1.267657593,1.839999893
1917,0.808115568,0.824852567
1918,0.441593957,0.554164635
1919,-1.381161932,-0.857950306
1920,0.391716292,0.26823158
1921,0.075697281,0.571390653
1922,1.332413055,0.503540048
1923,1.657668106,1.59410107
1924,2.945365507,1.545184622
1925,0.488557257,0.581800986
1926,-0.76245177,-0.680736753
1927,0.059213968,-0.339538764
1928,0.858753507,0.74729937
1929,1.047544709,0.320355377
1930,0.273067219,0.819463357
1931,-0.960568736,0.112325989
1932,2.353479097,0.908129162
1933,-0.095662272,-0.182573549
1934,0.114112118,-0.100657154
1936,0.082714596,0.747899581
1937,1.390793433,0.943106574
1938,-0.191253297,0.229747117
1939,3.001382028,3.124135292
1940,2.25315646,1.67653213
1941,-0.543664168,-0.631139313
1942,0.027653062,-0.066195018
1944,-0.417586849,-0.58895837
1945,-0.26139664,-0.387250505
1946,0.575687968,0.448690689
1947,-0.354582236,0.352939009
1948,0.516012922,1.055080166
1949,-0.8008963,-0.710073896
1950,0.203918012,0.034101774
1951,0.827278171,0.518245947
1952,-0.182339718,0.030126177
1953,-0.185249374,0.730665103
1954,1.81448636,1.686373362
1955,0.432958459,0.149191058
1956,1.645568175,1.177642851
1957,0.929590949,1.075311907
1958,0.608688463,1.543206413
